love	sex	6.77	0.3360750636310252
tiger	cat	7.35	0.6627454751059085
tiger	tiger	10.00	1.0
book	paper	7.46	0.41361866937858893
computer	keyboard	7.62	0.462670233112637
computer	internet	7.58	0.43025762236146625
plane	car	5.77	0.39384609368472256
train	car	6.31	0.4983273443337577
telephone	communication	7.50	0.36741453408116037
television	radio	6.77	0.6641925566646018
media	radio	7.42	0.34479239317247695
drug	abuse	6.85	0.4482441723701021
bread	butter	6.19	0.8096971156309073
cucumber	potato	5.92	-1
doctor	nurse	7.00	0.6195440131238026
professor	doctor	6.62	0.45382342770070516
student	professor	6.81	0.4188443847224025
smart	student	4.62	0.13471391173734598
smart	stupid	5.81	0.42399046524464473
company	stock	7.08	0.5065367730474668
stock	market	8.08	0.5381832912901122
stock	phone	1.62	0.1975461238788442
stock	CD	1.31	0.1461021557592859
stock	jaguar	0.92	-1
stock	egg	1.81	0.11116892767783568
fertility	egg	6.69	0.33572791867664586
stock	live	3.73	-0.05818396779455047
stock	life	0.92	0.024862691556800258
book	library	7.46	0.22915430913901394
bank	money	8.12	0.27605439790811365
wood	forest	7.73	0.38887261288684893
money	cash	9.15	0.6322690671013503
professor	cucumber	0.31	-1
king	cabbage	0.23	-0.004052978586448136
king	queen	8.58	0.6588015616625217
king	rook	5.92	0.4135817277821164
bishop	rabbi	6.69	0.5520394108466171
Jerusalem	Israel	8.46	0.39977328027768366
Jerusalem	Palestinian	7.65	0.25279055402407885
holy	sex	1.62	0.11769253698497491
fuck	sex	9.44	0.07338511340502704
Maradona	football	8.62	0.2949672142143294
football	soccer	9.03	0.6671904141321644
football	basketball	6.81	0.6511694923059376
football	tennis	6.63	0.45854278337363835
tennis	racket	7.56	-1
Arafat	peace	6.73	0.036828815330036686
Arafat	terror	7.65	0.021202022261767664
Arafat	Jackson	2.50	0.26767509552795465
law	lawyer	8.38	0.3809569509241345
movie	star	7.38	0.33584925453450243
movie	popcorn	6.19	0.122598019377762
movie	critic	6.73	0.21622851735337206
movie	theater	7.92	0.3990829995216531
physics	proton	8.12	0.2771214681887135
physics	chemistry	7.35	0.764747411995619
space	chemistry	4.88	0.24052121098502985
alcohol	chemistry	5.54	0.21508793985560531
vodka	gin	8.46	0.36410850131170774
vodka	brandy	8.13	0.41966470003617184
drink	car	3.04	0.19837820485105243
drink	ear	1.31	0.08676925322247252
drink	mouth	5.96	0.2761831559520302
drink	eat	6.87	0.6921327427876243
baby	mother	7.85	0.5437997660481887
drink	mother	2.65	0.2267751030313455
car	automobile	8.94	0.47613048044882217
gem	jewel	8.96	0.22261443189750943
journey	voyage	9.29	0.626263449275219
boy	lad	8.83	0.5648434659776782
coast	shore	9.10	0.7169151050459879
asylum	madhouse	8.87	-1
magician	wizard	9.02	0.45116266904132685
midday	noon	9.29	0.6666446210624801
furnace	stove	8.79	0.41153647724680226
food	fruit	7.52	0.5708507934150459
bird	cock	7.10	0.36506943456604574
bird	crane	7.38	0.3216527893156613
tool	implement	6.46	0.4245822000302237
brother	monk	6.27	0.23516640587711354
crane	implement	2.69	0.14356389245526943
lad	brother	4.46	0.3316168201641296
journey	car	5.85	0.15132055633381958
monk	oracle	5.00	0.3410774980549487
cemetery	woodland	2.08	0.3517969752464327
food	rooster	4.42	0.29835085540543005
coast	hill	4.38	0.4076830355095343
forest	graveyard	1.85	0.2261095865934031
shore	woodland	3.08	0.40643800158854115
monk	slave	0.92	0.330993549684825
